Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Fix versions,Fix versions,Components,Components,Components,Components,Components,Components,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Discovery - Connected),Outward issue link (Discovery - Connected),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Polaris datapoint work item link),Inward issue link (Polaris datapoint work item link),Inward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Inward issue link (Polaris work item link),Outward issue link (Polaris work item link),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Android Version),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Backout plan),Custom field (Category),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Department),Custom field (Department),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Feature),Custom field (Feature),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Implementation plan),Custom field (Insights),Custom field (Investigation reason),Custom field (Is For DevRev),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Product categorization),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Roadmap),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Spec ready),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Value),Custom field (Vulnerability),Custom field (Web Version),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (iOS Version),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Z | Mobile | Static Text (Labels & Buttons) Not Translating Based on Selected Language in Mobile SLD,ZP-1704,35580,Task,Done,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Krunal lunagariya,712020:3f10dc9f-7dee-4e11-afd1-782b80cb8f02,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,02/Apr/26 12:17 AM,06/Apr/26 6:13 AM,,,Web v1.21,,,,,,,,,,0,,,,,,,"*Steps to Reproduce:*

# Open the mobile application
# Navigate to the SLD (Single Line Diagram) screen
# Change the application language from settings
# Return to the SLD screen
# Observe labels, buttons, and other static text elements

*Description:*
In the Mobile SLD screen, static text elements such as labels, buttons, and UI text are not translated according to the selected language. Even after changing the language, these elements remain in the default language instead of updating dynamically.

*Expected Result:*
All static text elements (labels, buttons, UI text) in the Mobile SLD screen should be properly translated and displayed based on the selected language.",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5bde531a,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00x4u:zc,,,,,,,,,,,,,Z-26-03-S5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done,02/Apr/26 8:11 AM
Z | Mobile | Action Buttons Not Visible After Unlock in Mobile SLD Screen,ZP-1703,35579,Task,Done,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Krunal lunagariya,712020:3f10dc9f-7dee-4e11-afd1-782b80cb8f02,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,02/Apr/26 12:15 AM,06/Apr/26 6:13 AM,,,Web v1.21,,,,,,,,,,0,,,,,,,"h3. Description

In the Mobile SLD screen, when the user clicks on the *Unlock* option, action buttons such as *+Assets*, *+Box*, and *Layout* are not visible. This prevents users from performing further actions on the screen.

----

h3.  Steps to Reproduce

# Open the mobile application
# Navigate to the *SLD screen*
# Click on the *Unlock* option
# Observe the available action buttons

----

h3. Actual Result

* Buttons like *+Assets*, *+Box*, and *Layout* are not visible after unlocking

----

h3.  Expected Result

* All relevant action buttons (*+Assets*, *+Box*, *Layout*, etc.) should be visible and accessible after clicking *Unlock*",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3da27915,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-02T04:53:05.000-0500"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00x4u:zf,,,,,,,,,,,,,Z-26-03-S5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done,02/Apr/26 8:12 AM
Re: Forms,ZP-1702,35546,Bug,Done,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Low,,,,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,01/Apr/26 1:13 PM,10/Apr/26 1:16 AM,,,Web v1.22,,,,,,,,,,0,customer-issue,DevRev,newkirk-electric,support@egalvanic.com,,,"Anita reports that clicking the wrench to get the JSON in Forms is missing, despite instructions indicating it should work normally. She mentions a potential issue with the feature not being fully available yet.",,Mukul Panchal,,,,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@692adfe6,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00ytf:,,,,,,,,,,,,,Z-26-04-S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done,10/Apr/26 1:16 AM
Form.io broken randomly,ZP-1701,35513,Bug,Backlog,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,,,Eric Ehlert,623b9df4866b810069e4062a,Eric Ehlert,623b9df4866b810069e4062a,01/Apr/26 12:44 PM,05/Apr/26 3:50 AM,,,,,,,,,,,,,0,,,,,,,,,Eric Ehlert,,,,623b9df4866b810069e4062a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@29dbf98,,,,,,,,,,,,,,,,"{repository={count=9, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":9,""lastUpdated"":""2026-04-01T15:12:35.000-0500"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":9,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00yt7:,,,,,,,,,,,,,Triage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,01/Apr/26 12:44 PM
Patch CDN for Form.io,ZP-1700,35480,Bug,Backlog,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,,,Eric Ehlert,623b9df4866b810069e4062a,Eric Ehlert,623b9df4866b810069e4062a,01/Apr/26 10:19 AM,05/Apr/26 3:50 AM,,,,,,,,,,,,,0,,,,,,,,,Eric Ehlert,,,,623b9df4866b810069e4062a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a242eb8,,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-01T10:20:03.000-0500"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00ysz:,,,,,,,,,,,,,Triage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,01/Apr/26 10:19 AM
Issue with Opportunities,ZP-1699,35447,Bug,READY TO RELEASE,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,avani.patel,712020:19109706-a11c-4efd-abee-5ca72d900e45,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,01/Apr/26 8:13 AM,10/Apr/26 5:37 AM,,,Web v1.22,,,,,,,,,,0,customer-issue,DevRev,inglett-stubbs,support@egalvanic.com,,,"[https://app.devrev.ai/egalvanic/works/ISS-3744|https://app.devrev.ai/egalvanic/works/ISS-3744|smart-link] 
The user reports that 2026 visual inspections for the Metromont Hiram opportunity appear in the visualizer without a planned work order, causing confusion.

!image001.png|width=341,alt=""image001.png""!

!image002.png|width=356,alt=""image002.png""!

!image003.png|width=566,alt=""image003.png""!",,avani.patel,Eric Ehlert,Mukul Panchal,,712020:19109706-a11c-4efd-abee-5ca72d900e45,623b9df4866b810069e4062a,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Apr/26 4:20 AM;ug:624df9af-60da-4ab3-98be-ae0644c6dbd7;image copy 3.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/22526,07/Apr/26 4:20 AM;ug:624df9af-60da-4ab3-98be-ae0644c6dbd7;image copy 4.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/22525,01/Apr/26 12:01 PM;e708a945-71d1-4da3-ab63-9a56b64df425;image001.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/22002,01/Apr/26 12:01 PM;e708a945-71d1-4da3-ab63-9a56b64df425;image002.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/22003,01/Apr/26 12:01 PM;e708a945-71d1-4da3-ab63-9a56b64df425;image003.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/22004,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41ce7465,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-09T05:00:29.000-0500"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00z2g:,,,,,,,,,,,,,Z-26-04-S1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2026-04-07 09:20:46.371,,,"07/Apr/26 4:20 AM;712020:19109706-a11c-4efd-abee-5ca72d900e45;Hi [~accountid:623b9df4866b810069e4062a] , Visualizer vs Planned Work Orders quarter mismatch

I've been looking into the discrepancy between the Visualizer tab and the Planned Work Orders tab. They're showing items in different quarters for the same assets/procedures. Here's what I found:

*Root cause:* The Visualizer currently uses quote_line.window_end to determine which quarter a checkmark appears in, while the Planned Work Orders tab uses the work order's start_date. These dates are often very different.

*Example — Disconnect 01, Visual Inspection:*
window_end = 2026-04-01 → Visualizer shows it in Q2 2026
Work order start_date = 2029-04-01 → Planned WOs tab shows it in Q2 2029

Many quote lines have window_end set to 2026-04-01 regardless of when the work order is actually scheduled, so the Visualizer ends up stacking everything into Q2 2026.

Proposed fix: Update the Visualizer to use the planned work order's date (planned_workorder.start_date or end_date) for quarter placement instead of window_end. This would make the Visualizer consistent with the Planned Work Orders tab.

Can you confirm:

* Should the Visualizer reflect the planned work order schedule (WO start/end date) rather than the compliance window (window_end)?
* For lines that don't have a planned work order assigned yet, should we fall back to window_end?

Thanks!

!image copy 4.png|width=902,alt=""image copy 4.png""!

!image copy 3.png|width=902,alt=""image copy 3.png""!

CC: [~accountid:712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb] ","07/Apr/26 10:22 AM;623b9df4866b810069e4062a;[~accountid:712020:19109706-a11c-4efd-abee-5ca72d900e45] there should not ever be any lines that exist outside of a planned work order, so that is fine with me",,,,,,,,,,,,Done,10/Apr/26 5:37 AM
"[SldViewerAssetManager] Download/extract error: Error Domain=NSURLErrorDomain Code=-999 ""cancelled"" UserInfo={NSErrorFailingURLStringKey=https://eg-pz-prod-s3-slds-ohio.s3.us-east-2.amazonaws.com/sld-viewer/18/assets.zip?X-Amz-Algorithm=AWS4-HMAC-SHA256..",ZP-1698,35414,Bug,Backlog,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,,,Dharmesh Avaiya,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,Sentry,5b08578531fcef2607e2a842,01/Apr/26 6:54 AM,05/Apr/26 3:50 AM,,,,,,,,,,,,,0,,,,,,,"Sentry Issue: [Z-PLATFORM-9W|https://egalvanic-yb.sentry.io/issues/7324550432/?referrer=jira_integration]

{code}
[SldViewerAssetManager] Download/extract error: Error Domain=NSURLErrorDomain Code=-999 ""cancelled"" UserInfo={NSErrorFailingURLStringKey=https://eg-pz-prod-s3-slds-ohio.s3.us-east-2.amazonaws.com/sld-viewer/18/assets.zip?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASM5N2IBRB63ZL4PK%2F20260401%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260401T115402Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=9da862beaded1a584d5649021afde87c34318fd6effd1d1c636f2b16736453f0, NSErrorFailingURLKey=https://eg-pz-prod-s3-slds-ohio.s3.us-east-2.amazonaws.com/sld-viewer/18/assets.zip?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASM5N2IBRB63ZL4PK%2F20260401%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20260401T115402Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=9da862beaded1a584d5649021afde87c34318fd6effd1d1c636f2b16736453f0, _NSURLErrorRelatedURLSessionTaskErrorKey=(
    ""LocalDownloadTask <CCBEB99D-1B5F-4AA0-801C-AF889E532AB1>.<1>""
), _NSURLErrorFailingURLSessionTaskErrorKey=LocalDownloadTask <CCBEB99D-1B5F-4AA0-801C-AF889E532AB1>.<1>, NSLocalizedDescription=cancelled}
{code}This ticket was automatically created by Sentry via [A Sentry issue is been reported and respective Ticket is generated|https://sentry.io/organizations/egalvanic-yb/monitors/alerts/2877128/]",,Sentry,,,,5b08578531fcef2607e2a842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17e75ccb,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00ysj:,,,,,,,,,,,,,Triage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22518,ZP-300,Sentry,To Do,01/Apr/26 6:54 AM
Z | iOS & Android Multiple Pop-ups Open When Clicking Z Platform on iPad,ZP-1697,35380,Bug,To Do,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Dharmesh Avaiya,712020:b43bccaf-6e8f-47ef-82f7-5439c6765fdb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,01/Apr/26 2:48 AM,01/Apr/26 3:04 AM,,,,,,,,,,,,,0,,,,,,,"h3. Description

On iPad, when the user clicks on the *Z Platform* option, two pop-ups are opened simultaneously instead of a single pop-up. This creates a confusing user experience.

----

h3. Steps to Reproduce

# Open the application on iPad
# Navigate to the section where *Z Platform* is available
# Click on *Z Platform*
# Observe the behavior

----

h3. Actual Result

* Two pop-ups open at the same time

----

h3. Expected Result

* Only *one pop-up* should open when clicking on *Z Platform*

----

!Image_20260401_130028_656 (1).png|width=663,alt=""Image_20260401_130028_656 (1).png""!

!1000003448.jpeg|width=800,alt=""1000003448.jpeg""!",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/Apr/26 3:04 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;1000003448.jpeg;https://egalvanic.atlassian.net/rest/api/3/attachment/content/21929,01/Apr/26 2:48 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;Image_20260401_130028_656 (1).png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/21928,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25b86f0e,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00ysb:,,,,,,,,,,,,,Triage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,01/Apr/26 2:48 AM
Z | iOS | The application sometimes crashes unexpectedly on iPad during normal usage.,ZP-1696,35379,Bug,Done,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Kush,712020:9881bb6e-cbf7-47a6-bf7a-838a383b2866,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,01/Apr/26 2:42 AM,09/Apr/26 8:02 AM,,,iOS v1.29,,,,,,,,,,0,,,,,,,"h3. *Steps to Reproduce:*

# Open the application on iPad
# Navigate through different modules (e.g., SLD, Assets, Core Attributes, etc.)
# Perform regular actions such as clicking buttons, opening popups, or switching screens
# Observe the app behavior

*Description:*
The application sometimes crashes unexpectedly on iPad during normal usage. The crash does not occur at a specific step and appears to be random, making it difficult to predict. This impacts user experience and may lead to data loss.

*Expected Result:*
The application should run smoothly without crashing during normal usage on iPad.

!Image_20260401_130028_561.png|width=663,alt=""Image_20260401_130028_561.png""!",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/Apr/26 2:42 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;Image_20260401_130028_561.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/21927,01/Apr/26 5:23 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;Image_20260401_155239_542.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/21962,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1561bf59,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00yr2:i,,,,,,,,,,,,,Z-26-03-S5,Z-26-04-S1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"09/Apr/26 8:02 AM;712020:9c81fbcc-e424-4396-a25b-01f80fc942eb;I tried to reproduce this bug in version 1.28, but it is not reproducible at the moment. Therefore, I am marking it as done. If it occurs again in the future, I will create a new ticket.",,,,,,,,,,,,,Done,09/Apr/26 8:02 AM
Z | FE | Non-Serviceability Tag Alignment Issue in Asset Maintenance Condition,ZP-1695,35378,Bug,READY TO RELEASE,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,Medium,,Krunal lunagariya,712020:3f10dc9f-7dee-4e11-afd1-782b80cb8f02,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,01/Apr/26 2:21 AM,09/Apr/26 5:18 AM,,,Web v1.22,,,,,,,,,,0,,,,,,,"h3. Description

In the Asset module, under the *Condition of Maintenance* section, the *Non-Serviceability* tag is not properly aligned. Currently, the tag is not centered and appears misaligned in the UI.

----

h3. Steps to Reproduce

# Open the application
# Navigate to *Asset module*
# Select any asset
# Go to *Condition of Maintenance* section
# Observe the *Non-Serviceability* tag alignment

----

h3. Actual Result

* The *Non-Serviceability* tag is not centered and appears misaligned

----

h3. Expected Result

* The *Non-Serviceability* tag should be properly *center-aligned* within its designated area in the UI

!image-20260401-072135.png|width=663,alt=""image-20260401-072135.png""!",,Krunal lunagariya,Nency Sardhara,,,712020:3f10dc9f-7dee-4e11-afd1-782b80cb8f02,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/Apr/26 2:21 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;image-20260401-072135.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/21926,09/Apr/26 2:40 AM;ug:0af910af-73f0-4523-9293-a324a9ab58c9;image-20260409-074042.png;https://egalvanic.atlassian.net/rest/api/3/attachment/content/22905,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@10106613,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-09T02:12:13.000-0500"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00yre:i,,,,,,,,,,,,,Z-26-04-S1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2026-04-09 07:40:46.663,,,"09/Apr/26 2:40 AM;712020:3f10dc9f-7dee-4e11-afd1-782b80cb8f02;!image-20260409-074042.png|width=479,alt=""image-20260409-074042.png""!",,,,,,,,,,,,,Done,09/Apr/26 5:18 AM
Z | iOS | IR Photo Upload Fails When Selecting from Gallery in Work Order,ZP-1694,35377,Bug,Done,ZP,Z Platform,software,Mukul Panchal,557058:d6069371-78a0-4740-bf16-ed0ecd612280,,High,,Kush,712020:9881bb6e-cbf7-47a6-bf7a-838a383b2866,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,Nency Sardhara,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,01/Apr/26 1:29 AM,06/Apr/26 6:43 AM,,,iOS v1.27,,,,,,,,,,0,,,,,,,"h3. Description

In the Work Order module, when the user tries to upload an IR photo using the *Gallery/Photos option*, the photo does not get uploaded. However, when the same image is uploaded using the *File option*, it uploads successfully.

This issue persists even after refreshing the app and killing/restarting it.

----

h3. Steps to Reproduce

# Open the application
# Navigate to *Work Order*
# Select any Work Order
# Go to IR Photo upload section
# Try uploading a photo using *Gallery/Photos option*
# Observe the result

(Additional check)

# Try uploading the same image using *File option*

----

h3. Actual Result

* Photo is *not uploaded* when selected from Gallery/Photos
* Photo uploads successfully when selected from File option

----

h3.  Expected Result

* Photo should upload successfully from both *Gallery/Photos* and *File option* without any issue
!Video_20260401_115542_897 (1).mp4|width=639,alt=""Video_20260401_115542_897 (1).mp4""!",,Nency Sardhara,,,,712020:9c81fbcc-e424-4396-a25b-01f80fc942eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/Apr/26 1:29 AM;ug:29b9746d-ffd7-45b8-a9a1-6551859db83a;Video_20260401_115542_897 (1).mp4;https://egalvanic.atlassian.net/rest/api/3/attachment/content/21925,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d6d481a,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-04-02T08:58:17.000-0500"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00yhe:z,,,,,,,,,,,,,Z-26-03-S5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done,02/Apr/26 9:16 AM
